timestamp,x_cnc,y_cnc,z_cnc,timestamp_mag,Bx1,By1,Bz1,Bx2,By2,Bz2,Bx3,By3,Bz3,Bx4,By4,Bz4,Bx5,By5,Bz5,timestamp_ft,tx,ty,tz,fx,fy,fz
6.190594196319580078e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,6.690594196319580078e+00,8.344041450777005542e-01,-6.502072538860168560e-01,1.086430051813483288e+00,3.979274611398992967e-01,-1.745673575129534916e+00,1.877056994818663060e+00,-2.298963730569975605e-01,1.410621761658029216e+00,1.675025906735758241e+00,3.908549222798027856e-01,-1.787487046632136867e+00,-8.129533678756173387e-02,1.439922279792731574e+00,5.339378238339940325e-02,-2.129119170984401510e-01,6.690594196319580078e+00,-1.469410503645056099e-01,-6.220433126237495669e-02,7.460123801439854079e-04,-2.737834943468088998e-03,7.444361721435705480e-03,-8.041448567238748679e-02
9.326183080673217773e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,9.826183080673217773e+00,-1.028730158730177369e+00,-7.365079365080072493e-02,2.724407407407418269e+00,2.782539682539684645e+00,-2.911349206349208352e+00,3.260137566137576659e+00,-8.455555555555597236e-01,1.096031746031743470e+00,2.692169312169318207e+00,1.076984126984219664e-01,-1.336269841269854153e+00,7.915873015873043927e-01,-1.192777777777793036e+00,-2.713492063492261575e-01,8.199153439153494816e-01,9.826183080673217773e+00,-6.637469044487388781e-02,-2.704950905153675339e-02,-3.040654346637583928e-03,7.412719628995373053e-03,2.292760720639120450e-03,-1.274062232652719007e-01
1.231254816055297852e+01,-1.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,1.281254816055297852e+01,-1.190855614973280963e+00,-5.289304812834290104e-01,2.393149732620330816e+00,3.461229946524065237e+00,-4.313021390374331077e+00,3.670844919786107052e+00,-7.293048128342282110e-01,5.189839572192481709e-01,2.451871657754019385e+00,5.302139037434153851e-02,-2.348743315508033280e+00,9.475935828877278533e-02,-1.446818181818197324e+00,-4.369251336898603011e-01,1.735401069518764383e-01,1.281254816055297852e+01,-3.388442071353926777e-02,-2.520048053148277178e-02,3.955462319965675024e-04,5.676566239665536626e-03,8.807862299509383293e-04,-9.732721679617362120e-02
1.533031201362609863e+01,-1.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,1.583031201362609863e+01,-9.809042553191681391e-01,-5.534042553191559355e-01,1.484340425531924135e+00,4.140159574468084358e+00,-4.304999999999997939e+00,4.333627659574479374e+00,-5.431914893617058038e-01,3.997340425531887842e-01,1.258297872340432999e+00,3.143617021277508861e-02,-3.091276595744692379e+00,1.014202127659576735e+00,-7.370744680851211150e-01,-2.168617021276801893e-01,8.870638297872392997e-01,1.583031201362609863e+01,-1.597919905201551985e-02,-6.528800061527403886e-02,-5.148205453448836087e-03,-1.234722941707661287e-04,-1.099882073588577232e-03,-9.567319929272811996e-02
1.844830489158630371e+01,-1.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,1.894830489158630371e+01,3.922340425531725128e-01,1.965957446808445919e-01,9.192872340425628508e-01,3.214627659574472052e+00,-4.732659574468083719e+00,3.222244680851076293e+00,-8.328191489361734812e-01,1.602925531914891399e+00,5.732978723404325017e-01,1.539414893617033764e+00,-4.483563829787244437e+00,1.522712765957449532e+00,4.764893617021129790e-01,1.812925531914873822e+00,1.576319148936176973e+00,1.894830489158630371e+01,-1.428194323336666287e-02,7.910047824732325747e-03,-5.174285889370367972e-03,6.568412300189362986e-03,-2.198649488824191631e-03,-1.542264822568308880e-01
2.176792001724243164e+01,1.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,2.226792001724243164e+01,-1.588888888889074535e-01,-2.982539682539750991e-01,1.689645502645512165e+00,4.530952380952382619e+00,-4.927222222222223280e+00,4.018126984126995538e+00,-5.746031746032084081e-02,8.912698412698392136e-01,1.451322751322759119e+00,8.553174603174703572e-01,-4.844206349206365836e+00,1.696931216931217623e+00,-7.324603174603322442e-01,5.849999999999798694e-01,1.306687830687836005e+00,2.226792001724243164e+01,8.138523680458546739e-02,-1.539280017498991697e-03,-5.672681240174965583e-03,6.058984663997771594e-03,-1.109940246494103312e-02,-1.875965817551813741e-01
2.488506007194519043e+01,1.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,2.538506007194519043e+01,4.554098360655546851e-01,-1.906557377049251933e-01,1.637382513661210570e+00,6.044262295081972880e+00,-4.501721311475407994e+00,4.977224043715857249e+00,1.491803278688177276e-02,1.536065573770489801e+00,1.532568306010936077e+00,5.040163934426337145e-01,-5.199098360655752593e+00,2.207377049180329287e+00,-1.210081967213127996e+00,6.204918032784813992e-02,1.867530054644815252e+00,2.538506007194519043e+01,1.159461014893903574e-01,2.411105774719614694e-02,-5.000628046015461424e-03,7.926765732630028372e-03,-1.472328623535387043e-02,-2.137702118090094583e-01
2.800074696540832520e+01,1.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,2.850074696540832520e+01,2.810526315789289575e-01,-1.357894736842111261e+00,-4.205263157893671805e-02,7.034210526315813894e-01,-1.832368421052632756e+00,2.220473684210536813e+00,1.049999999999996048e+00,7.736842105263126435e-01,1.891526315789481050e+00,-8.897368421052533893e-01,-2.260263157894749853e+00,-1.312315789473681438e+00,2.289473684210381610e-01,-4.436842105263364977e-01,-1.434421052631573934e+00,2.850074696540832520e+01,1.378171677701175157e-01,4.440376345281183204e-03,-2.386972014057001774e-04,1.082880652362578841e-02,-1.623498217178214950e-02,-2.653617831130855031e-01
3.101845312118530273e+01,1.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,3.151845312118530273e+01,1.033072625698304492e+00,-1.078324022346375255e+00,2.100167597765468241e-01,1.449720670391064337e+00,-2.212541899441342164e+00,1.072156424581016010e+00,3.977094972067005685e-01,2.053910614525137568e+00,8.859776536312924389e-01,6.500279329609037759e-01,-3.689413407821239055e+00,-1.051284916201114195e+00,8.498044692737268813e-01,1.014888268156403983e+00,-3.939999999999952429e-01,3.151845312118530273e+01,1.787859984621530118e-01,-1.051554384339580123e-01,2.819508577920704865e-03,1.645223632085210906e-03,-1.866416873360916828e-02,-2.706166214875449505e-01
3.403506207466125488e+01,1.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,3.453506207466125488e+01,7.596774193546543263e-02,-1.363064516129038450e+00,-2.536451612903127262e-01,2.072580645161292257e+00,-2.482419354838711012e+00,1.599268817204311688e+00,5.712903225806421625e-01,1.391129032258061393e+00,9.467204301075343720e-01,2.022580645161392299e-01,-3.497419354838722239e+00,-1.580161290322579459e+00,1.825806451612750902e-01,-2.593548387096973329e-01,-1.280075268817199685e+00,3.453506207466125488e+01,6.738481584796182644e-02,-1.346812123983537335e-01,1.636657307064662455e-03,-1.668944017290668359e-03,-1.164794611689504676e-02,-3.092433606767625576e-01
