timestamp,x_cnc,y_cnc,z_cnc,timestamp_mag,timestamp_ft,Bx1,By1,Bz1,Bx2,By2,Bz2,Bx3,By3,Bz3,Bx4,By4,Bz4,Bx5,By5,Bz5,tx,ty,tz,fx,fy,fz
3.948084926605224609e+01,4.000000000000000000e+00,2.000000000000000000e+00,-1.199999999999999956e+00,3.948163723945617676e+01,3.948163723945617676e+01,7.950600000000000023e+01,-7.188000000000000966e+01,9.521240000000000236e+01,-4.550999999999999801e+01,-4.266000000000000014e+00,8.879359999999999786e+01,7.986000000000001364e+01,4.221000000000000796e+01,1.128983999999999952e+02,-1.188720000000000141e+02,-8.488800000000000523e+01,9.229840000000001510e+01,8.034600000000000364e+01,-1.204140000000000015e+02,9.800000000000000000e+01,4.931994684040546389e-02,-1.782276888377964247e-02,-1.317663437128067105e-01,-1.312018277123570484e-02,-2.613118239678442235e-03,-2.659865152835846347e-01
4.256497406959533691e+01,4.000000000000000000e+00,4.000000000000000000e+00,-1.199999999999999956e+00,4.256504225730895996e+01,4.256504225730895996e+01,8.067600000000000193e+01,-7.485599999999999454e+01,9.521320000000000050e+01,-5.305199999999999960e+01,8.699999999999999956e-01,8.498120000000000118e+01,8.282999999999999829e+01,4.348199999999999932e+01,1.146791999999999945e+02,-1.221119999999999948e+02,-8.045400000000000773e+01,9.064359999999999218e+01,8.266200000000000614e+01,-1.226280000000000001e+02,9.344040000000001100e+01,9.912340145558118376e-02,-1.209526154398918307e-01,-1.200939396023750355e-01,6.621414837427437236e-03,-1.600694049149751705e-02,-2.635857570171356024e-01
4.565046501159667969e+01,4.000000000000000000e+00,6.000000000000000000e+00,-1.199999999999999956e+00,4.564963102340698242e+01,4.564963102340698242e+01,8.011799999999999500e+01,-7.444799999999999329e+01,9.276319999999999766e+01,-5.080800000000000693e+01,-4.619999999999999662e-01,8.677039999999999509e+01,8.224199999999999022e+01,4.223399999999999466e+01,1.154428000000000054e+02,-1.224360000000000070e+02,-8.095799999999999841e+01,8.880400000000000205e+01,8.134200000000001296e+01,-1.238580000000000041e+02,9.430280000000000484e+01,1.000491240620613176e-01,-1.804481551051139929e-02,-1.243217322230339011e-01,-2.680435623915399624e-05,-9.412838906864635230e-03,-3.518653127551079063e-01
4.863159203529357910e+01,4.000000000000000000e+00,8.000000000000000000e+00,-1.199999999999999956e+00,4.863190293312072754e+01,4.863190293312072754e+01,8.134199999999999875e+01,-7.359000000000000341e+01,9.207560000000000855e+01,-5.165999999999999659e+01,-1.512000000000000011e+00,8.496160000000000423e+01,8.005800000000000693e+01,4.428000000000000114e+01,1.122687999999999988e+02,-1.203539999999999992e+02,-8.248199999999999932e+01,9.145720000000000027e+01,8.207999999999999829e+01,-1.213020000000000067e+02,9.262800000000001432e+01,9.748190924525260148e-02,-3.606820911169052180e-02,-1.343376433849334806e-01,-2.042430483270436282e-03,-8.731859480030834328e-03,-3.985187965631484808e-01
5.161450314521789551e+01,4.000000000000000000e+00,1.000000000000000000e+01,-1.199999999999999956e+00,5.161331605911254883e+01,5.161331605911254883e+01,7.971000000000000796e+01,-7.270799999999999841e+01,9.319920000000000471e+01,-5.071800000000000352e+01,-2.057999999999999829e+00,8.651040000000000418e+01,8.180400000000000205e+01,4.361999999999999744e+01,1.119876000000000147e+02,-1.201380000000000052e+02,-8.124000000000000909e+01,8.852320000000000277e+01,8.077800000000000580e+01,-1.226340000000000146e+02,9.346000000000000796e+01,9.964691743254662504e-02,-4.496636491268873881e-02,-1.277238178253173873e-01,-3.236926514655351535e-03,-8.810016037896276769e-03,-4.049416846036911211e-01
5.459959506988525391e+01,4.000000000000000000e+00,1.200000000000000000e+01,-1.199999999999999956e+00,5.460167121887207031e+01,5.460167121887207031e+01,7.965000000000000568e+01,-7.351200000000000045e+01,9.397320000000000562e+01,-4.973999999999999488e+01,-1.451999999999999957e+00,8.839719999999999800e+01,8.103000000000000114e+01,4.205999999999999517e+01,1.133332000000000050e+02,-1.203659999999999997e+02,-8.289600000000000080e+01,8.948279999999999745e+01,7.987800000000001432e+01,-1.222500000000000000e+02,9.367280000000000939e+01,5.190585389733314015e-02,-2.968450590968131977e-02,-1.251958653330802751e-01,-1.061743772006593610e-03,-7.639745193300769358e-03,-4.158601325750350686e-01
5.768622589111328125e+01,4.000000000000000000e+00,1.400000000000000000e+01,-1.199999999999999956e+00,5.768732905387878418e+01,5.768732905387878418e+01,7.902599999999999625e+01,-7.200600000000000023e+01,9.223160000000001446e+01,-4.839000000000000057e+01,-1.830000000000000071e+00,8.754560000000000741e+01,8.131199999999999761e+01,4.359000000000000341e+01,1.137991999999999990e+02,-1.204080000000000155e+02,-8.395199999999999818e+01,8.921119999999999095e+01,8.051400000000001000e+01,-1.228560000000000088e+02,9.502880000000000393e+01,3.527187258005142628e-03,1.534944526385515970e-02,-1.314277580380439625e-01,1.656782419886440160e-03,-2.830006129806861151e-04,-3.733299630880355657e-01
6.077213120460510254e+01,4.000000000000000000e+00,1.600000000000000000e+01,-1.199999999999999956e+00,6.077241706848144531e+01,6.077241706848144531e+01,8.071200000000000330e+01,-7.158600000000001273e+01,9.205760000000000787e+01,-4.755599999999999739e+01,-1.920000000000000151e+00,8.777760000000000673e+01,8.171999999999999886e+01,4.242600000000000193e+01,1.120260000000000105e+02,-1.205280000000000058e+02,-8.578200000000001069e+01,9.043120000000000402e+01,8.221199999999998909e+01,-1.212540000000000049e+02,9.468919999999999959e+01,1.116560313105583180e-01,2.150163210928440205e-01,-1.269511604309082053e-01,1.336200859397649807e-02,-6.613385529490188076e-03,-2.315600779652595698e-01
6.416209197044372559e+01,6.000000000000000000e+00,0.000000000000000000e+00,-1.199999999999999956e+00,6.416091322898864746e+01,6.416091322898864746e+01,7.971000000000000796e+01,-7.152599999999999625e+01,9.162000000000000455e+01,-4.658400000000000318e+01,-3.443999999999999950e+00,8.516400000000000148e+01,8.138999999999998636e+01,4.346999999999999886e+01,1.113100000000000023e+02,-1.186980000000000075e+02,-8.558400000000000318e+01,9.093399999999999750e+01,8.063400000000000034e+01,-1.200720000000000027e+02,9.567680000000000007e+01,-1.000985378026962302e-01,-3.375464540719986251e-01,-1.201711517572403021e-01,-2.723635807633400033e-02,5.355051844380795747e-03,-3.392371964454650723e-01
6.724706816673278809e+01,6.000000000000000000e+00,2.000000000000000000e+00,-1.199999999999999956e+00,6.724633693695068359e+01,6.724633693695068359e+01,8.156399999999999295e+01,-6.889199999999999591e+01,9.151439999999999486e+01,-4.692600000000000193e+01,-3.228000000000000203e+00,8.659759999999999991e+01,8.120400000000000773e+01,4.440600000000000591e+01,1.117748000000000133e+02,-1.194059999999999917e+02,-8.681400000000000716e+01,9.145680000000000121e+01,8.298000000000000398e+01,-1.187940000000000111e+02,9.516360000000000241e+01,2.412722992897033958e-01,-9.976393133401870172e-02,-1.134876200556755033e-01,-8.521965499967336030e-03,-1.853507511317729894e-02,-4.137303370237350730e-01
