timestamp,x_cnc,y_cnc,z_cnc,timestamp_mag,Bx1,By1,Bz1,Bx2,By2,Bz2,Bx3,By3,Bz3,Bx4,By4,Bz4,Bx5,By5,Bz5,timestamp_ft,tx,ty,tz,fx,fy,fz
9.397330999374389648e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,9.897330999374389648e+00,6.263513513513448983e-01,-1.341081081081084925e+00,1.368054054054040680e+00,5.258108108108143774e-01,-7.718918918918921124e-01,8.075945945945894877e-01,1.868918918918905492e+00,-1.458648648648648072e+00,-5.112162162162140477e-01,1.739594594594611410e+00,1.171216216216216521e+00,-1.909540540540544118e+00,-5.262162162162136170e-01,-1.154594594594617663e+00,-4.036756756756794129e-01,9.897330999374389648e+00,-1.229766381501748718e-01,-1.009418288623359916e-01,3.580899425857777228e-03,-1.678389760294325076e-03,7.210753673122805192e-03,-9.728235363003773228e-02
1.252496576309204102e+01,-1.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,1.302496576309204102e+01,-1.014729729729735519e+00,-8.764864864864894134e-01,2.301783783783770687e+00,3.152837837837840773e+00,-2.727567567567565465e+00,2.550459459459454514e+00,1.224324324324310487e+00,-1.915945945945944251e+00,3.953783783783805794e-01,1.085270270270285220e+00,9.701351351351352736e-01,-1.813000000000002832e+00,-3.471081081081079045e+00,-1.402702702702725457e+00,-9.227027027027422112e-02,1.302496576309204102e+01,-1.407150155537434111e-01,2.045185069327015714e-02,8.155585996605268281e-04,8.322871537923156454e-03,6.922124742846495239e-03,-1.382445125790262574e-01
1.551141405105590820e+01,-1.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,1.601141405105590820e+01,-1.346270718232049912e+00,-5.429834254143688366e-01,1.870419889502749289e+00,3.872734806629837045e+00,-2.526464088397790686e+00,3.494071823204416116e+00,9.926519337016422861e-01,-1.833149171270717304e+00,-1.283751381215466392e+00,1.504226519337031664e+00,7.064917127071823622e-01,-1.637132596685086705e+00,-3.703591160220987000e+00,-1.955801104972398896e+00,5.487624309392227229e-01,1.601141405105590820e+01,-4.576968194103869098e-02,1.292844518391384791e-02,2.028685632208106302e-03,7.497454231613937849e-03,1.222026649539401403e-03,-1.137253014056927858e-01
1.852864098548889160e+01,-1.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,1.902864098548889160e+01,-1.084020618556706950e+00,-7.475257731958804275e-01,8.915670103092657728e-01,4.154690721649489937e+00,-3.623505154639175885e+00,2.814835051546386246e+00,1.064072164948439481e+00,-1.425773195876288701e+00,-1.181061855670100247e+00,2.380206185567024679e+00,-7.190721649484540512e-01,-5.000721649484578535e-01,-3.280670103092780288e+00,-1.500000000000220324e-01,1.160536082474223685e+00,1.902864098548889160e+01,-6.444230182384401429e-02,-1.089301298852510397e-01,2.349559089994616556e-03,-2.603192514435089845e-03,3.690174083449257545e-03,-1.132559378477792783e-01
2.154852676391601562e+01,-1.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,2.204852676391601562e+01,-1.322580645161296697e+00,-4.872580645161332935e-01,1.783365591397835459e+00,4.510161290322586503e+00,-3.542419354838710621e+00,3.514634408602147264e+00,1.318387096774178646e+00,-2.204838709677420905e+00,-1.330774193548384332e+00,2.015000000000014335e+00,-1.066935483870967483e+00,-1.418526881720432620e+00,-3.894354838709674027e+00,-5.620967741935711803e-01,5.738494623655874260e-01,2.204852676391601562e+01,-4.268574526193002344e-02,-1.428836011959950907e-02,4.420136039455733676e-03,5.178313601138672187e-03,-3.979953463375974902e-04,-1.687069227468342425e-01
2.487506794929504395e+01,1.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,2.537506794929504395e+01,-1.081701030927841423e+00,-7.467525773195916594e-01,1.388010309278338017e+00,6.093865979381448916e+00,-4.155463917525776374e+00,3.729577319587622952e+00,1.459948453608232777e+00,-1.742783505154637869e+00,-1.685237113402059617e+00,2.190773195876305479e+00,-1.635309278350516315e+00,-4.170309278350556315e-01,-4.296649484536084529e+00,-2.101546391752600496e+00,6.327525773195842307e-01,2.537506794929504395e+01,6.633983087562714265e-02,-2.661429715112390015e-02,4.402120604381427535e-03,5.212220370939923790e-03,-9.525953106790390965e-03,-1.892780998059231667e-01
2.788375091552734375e+01,1.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,2.838375091552734375e+01,-7.934210526315852441e-01,-6.134210526315829748e-01,1.664052631578933905e+00,6.318947368421061306e+00,-4.029473684210527651e+00,4.075736842105259328e+00,1.436842105263143043e+00,-9.055263157894732906e-01,-1.855052631578946398e+00,2.121315789473700253e+00,-2.292631578947370130e+00,-5.683684210526358527e-01,-3.499736842105259704e+00,-1.488947368421074557e+00,1.369315789473679823e+00,2.838375091552734375e+01,1.075721178693990893e-01,-3.918215626066453433e-02,4.401802173570584786e-03,3.796305036552153483e-03,-1.345906340046846596e-02,-2.181711272924746203e-01
3.101885485649108887e+01,1.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,3.151885485649108887e+01,-1.302631578947429647e-01,-1.951578947368421302e+00,8.377368421052497904e-01,1.655526315789476399e+00,-1.445526315789474214e+00,2.004315789473679832e+00,2.420526315789460092e+00,-1.473157894736842888e+00,-8.130526315789448066e-01,1.340526315789489331e+00,2.131578947368417687e-01,-3.281789473684216141e+00,-2.284736842105259402e+00,-1.002631578947390967e+00,-1.441894736842109115e+00,3.151885485649108887e+01,1.030467777954120340e-01,-4.312849238416867348e-02,5.103169352208315745e-03,4.232471181680204537e-03,-1.394165602924706156e-02,-2.719708668509204230e-01
3.405203485488891602e+01,1.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,3.455203485488891602e+01,5.315217391304287720e-01,-1.530000000000001803e+00,-1.597608695652304456e-01,1.650326086956526161e+00,-1.806032608695652852e+00,5.430869565217346651e-01,2.039836956521725586e+00,-6.040760869565207081e-01,-1.872967391304345641e+00,1.924239130434798994e+00,-6.733695652173915525e-01,-2.619532608695656073e+00,-8.934782608695626127e-01,2.820652173912814309e-01,-1.602804347826092268e+00,3.455203485488891602e+01,1.545726266649106451e-01,-1.487788385468656327e-01,9.018262583444795061e-03,-3.590402476054251491e-03,-1.781865933880908207e-02,-2.779477290282754698e-01
3.719082188606262207e+01,1.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,3.769082188606262207e+01,-8.923796791443910914e-01,-1.580534759358291019e+00,4.248770053475800501e-01,2.743074866310166282e+00,-2.133850267379678201e+00,2.439513368983952546e+00,2.467860962566831073e+00,-1.687700534759358106e+00,-1.871994652406417714e+00,1.427566844919801570e+00,-5.065508021390373594e-01,-3.268433155080218366e+00,-2.442513368983953992e+00,-1.562566844919808462e+00,-8.305775401069553920e-01,3.769082188606262207e+01,3.298111291711820769e-02,-1.722267532008973645e-01,7.090064366771416278e-03,-5.432995534993776202e-03,-9.298473481036894153e-03,-3.190769245474534554e-01
4.063536787033081055e+01,3.000000000000000000e+00,-8.000000000000000000e+00,-2.220446049250313081e-16,4.113536787033081055e+01,-1.125000000000006439e+00,-1.124262295081970731e+00,-2.187540983606690859e-01,4.185491803278692302e+00,-2.026065573770489348e+00,3.029349726775950380e+00,2.669180327868837299e+00,-1.788524590163933503e+00,-2.226978142076498468e+00,2.081393442622967438e+00,-1.422540983606557674e+00,-2.925316939890714618e+00,-3.441803278688521761e+00,-1.559016393442644421e+00,-1.277333333333336762e+00,4.113536787033081055e+01,6.752347635827915528e-02,-2.270605927582605987e-01,1.034215724253467229e-02,-9.587610939032872176e-03,-8.624830576783627800e-03,-2.401474782448933809e-01
4.377540397644042969e+01,3.000000000000000000e+00,-6.000000000000000000e+00,-2.220446049250313081e-16,4.427540397644042969e+01,-5.727653631284976843e-01,-1.421061452513969092e+00,6.789944134076844606e-02,5.014441340782128442e+00,-2.333296089385474836e+00,2.370966480446921487e+00,2.649888268156410653e+00,-1.005586592178770555e+00,-2.997770949720669265e+00,2.093212290502809658e+00,-3.004608938547487007e+00,-2.544296089385477799e+00,-2.848324022346363282e+00,-8.991620111732068210e-01,-8.793072625698354905e-01,4.427540397644042969e+01,-6.915812679259473669e-03,-3.558073153656871740e-02,6.281900367382186288e-03,4.583548537524438811e-03,-3.932953470423311733e-03,-2.708169318106046219e-01
4.688756465911865234e+01,3.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,4.738756465911865234e+01,7.364754098360603018e-01,-7.324590163934464604e-01,-5.587540983606695821e-01,5.623196721311480850e+00,-3.080163934426231709e+00,2.833994535519122060e+00,2.481475409836051860e+00,-2.008196721311468480e-01,-3.138125683060107196e+00,2.349426229508213115e+00,-3.727459016393444902e+00,-1.598978142076506348e+00,-1.983606557377045165e+00,2.311475409835840877e-01,1.175398907103823332e+00,4.738756465911865234e+01,1.216778275490702638e-01,1.124282184367378715e-02,5.063430415313754582e-03,7.375508241891057769e-03,-1.388218232823816393e-02,-2.727262087629426235e-01
5.000251483917236328e+01,3.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,5.050251483917236328e+01,1.503260869565211433e+00,-9.992934782608735578e-01,-7.899239130434915213e-01,2.622880434782615122e+00,-2.326956521739128370e+00,2.642826086956460152e-01,2.258315217391289487e+00,1.377717391304353889e-01,-2.544054347826084861e+00,3.022336956521755713e+00,-2.324999999999998401e+00,-1.687902173913048198e+00,1.622282608695681250e-01,9.546195652173673496e-01,-2.785652173913076846e-01,5.050251483917236328e+01,1.137802555185297437e-01,-1.231137837616900176e-02,6.501602709455335180e-03,8.110074322093681690e-03,-1.463728342135689649e-02,-3.725727887054824383e-01
5.311571478843688965e+01,3.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,5.361571478843688965e+01,1.899064171122986977e+00,-3.585882352941179629e+00,-9.940000000000129843e-01,-2.064144385026735140e+00,1.729251336898395941e+00,-2.070433155080219301e+00,3.416791443850254240e+00,-2.727272727272718744e-01,-1.671620320855614183e+00,5.869251336898545501e-01,5.635026737967917532e-01,-4.827577540106957166e+00,-2.165775401069493233e-01,-3.112299465240881413e-01,-3.808438502673800574e+00,5.361571478843688965e+01,1.047200091013854306e-01,-1.318368791174242827e-01,1.041622591717915498e-02,-3.183065070166813879e-03,-1.425232916453604906e-02,-4.006468632836193700e-01
5.613678073883056641e+01,3.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,5.663678073883056641e+01,7.837301587301536143e-01,-2.890317460317462839e+00,-4.971746031746165917e-01,-9.103968253968230950e-01,5.893650793650790920e-01,-1.074481481481486922e+00,3.167619047619034234e+00,-6.857142857142850545e-01,-1.556248677248675660e+00,8.657936507936657700e-01,5.996031746031748044e-01,-5.186767195767197691e+00,-7.174603174603145783e-01,-2.936507936508166439e-01,-4.327968253968260015e+00,5.663678073883056641e+01,9.324860037969689985e-02,-3.421667282119709996e-02,1.247531968173841606e-02,4.422277831761956685e-03,-1.536231347236987309e-02,-4.184601054546576160e-01
5.925682473182678223e+01,3.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,5.975682473182678223e+01,7.912087912087364949e-02,-1.845659340659343339e+00,-1.519769230769244528e+00,7.443956043956079238e-01,-2.993406593406594540e-01,-2.418461538461589566e-01,3.738956043956028985e+00,-8.151098901098897676e-01,-2.781967032967029851e+00,1.397967032967047940e+00,-4.178571428571429824e-01,-5.902153846153851191e+00,-1.266758241758238368e+00,9.890109890107563750e-02,-3.742241758241760419e+00,5.975682473182678223e+01,1.390284822988917951e-02,2.718634343306931822e-02,8.238357849096737337e-03,1.011274844301854152e-02,-8.879468729735509602e-03,-4.260850969323335957e-01
6.226841282844543457e+01,3.000000000000000000e+00,6.000000000000000000e+00,-2.220446049250313081e-16,6.276841282844543457e+01,1.069166666666661714e+00,-1.406666666666669174e+00,-2.048000000000013365e+00,9.783333333333368298e-01,-1.133333333333333748e+00,-1.171500000000006203e+00,3.438333333333320141e+00,-3.283333333333325332e-01,-3.513833333333331588e+00,1.494166666666681076e+00,-1.416666666666666963e+00,-4.494777777777783534e+00,-1.074999999999975142e-01,1.561666666666642778e+00,-2.570722222222225906e+00,6.276841282844543457e+01,6.919852393265398319e-03,9.185199699261126227e-02,9.630298186999021112e-03,1.652623819277828157e-02,-7.309726611937447660e-03,-4.025113754491839169e-01
6.539140391349792480e+01,3.000000000000000000e+00,8.000000000000000000e+00,-2.220446049250313081e-16,6.589140391349792480e+01,-5.346256684492038946e-01,-2.130000000000000782e+00,-2.139133689839584296e+00,2.086122994652411133e+00,-4.573796791443854315e-01,4.481229946524007413e-01,3.041390374331538027e+00,-9.609625668449189861e-01,-2.989267379679145353e+00,1.415534759358303640e+00,-1.526871657754009570e+00,-5.692336898395725875e+00,-2.154545454545449878e+00,-7.114973262032308066e-01,-2.820684491978613817e+00,6.589140391349792480e+01,5.860725989375998451e-02,1.784311761915245986e-01,7.150036869022776721e-03,2.048718355235613214e-02,-7.680138263281466489e-03,-2.707881262789874066e-01
6.882197189331054688e+01,5.000000000000000000e+00,-8.000000000000000000e+00,-2.220446049250313081e-16,6.932197189331054688e+01,-1.620466321243577701e-01,-1.327150259067360283e+00,-2.591461139896385824e+00,3.371735751295343420e+00,-6.286010362694304243e-01,9.325958549222741478e-01,3.399792746113976083e+00,-1.049222797927460649e+00,-2.816409326424868631e+00,1.602823834196905439e+00,-2.492875647668392425e+00,-5.030740932642495444e+00,-1.810103626943001975e+00,-7.080310880829239206e-01,-2.670632124352334102e+00,6.932197189331054688e+01,-6.936139335344339296e-02,-2.383062458240036707e-01,1.931483923024129509e-02,-1.560904352598187043e-02,-2.209572700463619324e-03,-3.347748150503735975e-01
