timestamp,x_cnc,y_cnc,z_cnc,timestamp_mag,Bx1,By1,Bz1,Bx2,By2,Bz2,Bx3,By3,Bz3,Bx4,By4,Bz4,Bx5,By5,Bz5,timestamp_ft,tx,ty,tz,fx,fy,fz
4.744088172912597656e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,5.244088172912597656e+00,-9.425274725274690457e-01,1.918516483516492066e+00,2.868516483516492688e+00,1.246483516483520182e+00,-2.839780219780219994e+00,1.810824175824172766e+00,-3.776373626373663028e-01,-3.578571428571418744e-01,-1.506461538461527416e+00,-1.096318681318702026e+00,-1.598901098901235329e-01,2.379032967032961743e+00,-2.734945054945046028e+00,-3.250549450549622410e-01,1.260054945054944087e+00,5.244088172912597656e+00,-7.759207512348298939e-03,5.831415668273201049e-03,8.026864971955315368e-04,-5.852708810490071193e-04,1.148010843214680894e-03,-7.656137220782421350e-03
7.874003410339355469e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,8.374003410339355469e+00,-1.289337016574582551e+00,2.045220994475145826e+00,3.238011049723763968e+00,1.711077348066301296e+00,-2.627320441988949984e+00,2.162071823204417598e+00,-5.632044198895055365e-01,-1.446961325966843182e-01,-2.395734806629822522e+00,-1.351325966850848603e+00,6.124309392265052665e-01,2.605066298342535891e+00,-2.685248618784521923e+00,-5.802762430939408800e-01,1.004917127071823124e+00,8.374003410339355469e+00,-1.398724620970151315e-02,3.322135115734389799e-02,3.892677830202886675e-03,5.199744168010373476e-04,1.672437308515030722e-03,-2.160086966357702837e-02
1.096378231048583984e+01,-1.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,1.146378231048583984e+01,-2.055164835164832393e+00,2.426208791208799287e+00,3.062912087912095682e+00,2.751428571428572667e+00,-3.682087912087915083e+00,3.526538461538458513e+00,-7.509890109890141607e-01,-1.930219780219771808e-01,-2.010472527472515480e+00,-1.526538461538481828e+00,-1.236263736263876756e-01,2.909637362637357061e+00,-4.322307692307680860e+00,-6.464835164835359693e-01,5.726923076923065015e-01,1.146378231048583984e+01,8.656239981384395224e-03,1.413951729584848535e-02,5.755400343972080996e-04,3.625365841499234736e-04,9.525784029392522084e-04,-1.809132708068308601e-02
1.396960735321044922e+01,-1.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,1.446960735321044922e+01,-2.225645161290321639e+00,2.229354838709686426e+00,2.716774193548394667e+00,3.792903225806456113e+00,-3.404677419354839696e+00,3.357043010752683188e+00,-4.424193548387133079e-01,-3.770967741935477013e-01,-1.800311827956977417e+00,-1.450483870967763211e+00,-8.895161290322732839e-01,3.226946236559136150e+00,-4.182419354838699199e+00,-6.106451612903408543e-01,1.688817204301072517e+00,1.446960735321044922e+01,-5.342778593976325006e-03,-3.418586483245254510e-03,2.519663373729394765e-03,-1.133997044250649455e-03,4.997501979076292809e-04,-2.694600418142785794e-02
1.708931136131286621e+01,-1.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,1.758931136131286621e+01,-1.120833333333330684e+00,2.315833333333342292e+00,2.723833333333339546e+00,4.021666666666671830e+00,-3.801666666666666305e+00,2.991888888888884157e+00,-9.158333333333368298e-01,4.241666666666677465e-01,-3.030722222222212103e+00,-5.333333333333543091e-01,-2.502500000000015490e+00,3.501555555555547095e+00,-3.056666666666655985e+00,1.383333333333147397e-01,2.309777777777776375e+00,1.758931136131286621e+01,-4.333728978397428412e-03,1.122555869062327738e-02,7.353905510778225262e-04,-1.603010110557077906e-04,7.035687860075588544e-04,-3.173805008411566264e-02
2.040816617012023926e+01,1.000000000000000000e+00,-4.000000000000000000e+00,-2.220446049250313081e-16,2.090816617012023926e+01,-4.925806451612865788e-01,2.819677419354846837e+00,3.573010752688178471e+00,3.633225806451618300e+00,-3.806290322580645480e+00,3.195430107526879837e+00,-2.666129032258098830e-01,7.720967741935493844e-01,-3.167892473118266494e+00,-8.738709677419559396e-01,-2.309677419354854155e+00,3.752537634408596112e+00,-2.522741935483862719e+00,3.675806451612726455e-01,2.682258064516127138e+00,2.090816617012023926e+01,9.883320289513757712e-03,4.227570696102996711e-02,-7.346092243566212801e-04,1.942018248260982301e-03,-1.434077871829598280e-03,-5.311374147145069002e-02
2.352681016921997070e+01,1.000000000000000000e+00,-2.000000000000000000e+00,-2.220446049250313081e-16,2.402681016921997070e+01,-1.463650793650790538e+00,2.231031746031754359e+00,2.904126984126992550e+00,5.432777777777784145e+00,-3.929126984126984912e+00,3.502248677248672948e+00,-5.614285714285752737e-01,1.044444444444453390e-01,-2.773502645502632813e+00,-5.312698412698616535e-01,-2.599206349206365285e+00,3.742185185185180618e+00,-2.853015873015864123e+00,-8.952380952382885115e-02,2.723174603174602915e+00,2.402681016921997070e+01,-1.241387095493943528e-02,3.482539882666615266e-02,-1.389982778746539640e-04,1.518101091669113055e-03,-6.494709676728774566e-04,-6.620532370158446756e-02
2.654501318931579590e+01,1.000000000000000000e+00,0.000000000000000000e+00,-2.220446049250313081e-16,2.704501318931579590e+01,-1.352456140350873692e+00,1.446403508771936908e+00,2.426491228070181805e+00,4.795614035087757410e-01,-1.916929824561401263e+00,8.678654970760197873e-01,2.315789473683866131e-02,-1.128070175438588701e-01,-2.418701754385954139e+00,-1.799649122807038815e+00,2.254385964912135054e-01,1.364777777777771650e+00,-2.843157894736832336e+00,-2.501754385965105354e-01,-6.364912280701766623e-01,2.704501318931579590e+01,4.417330080817578886e-02,2.656037164957120861e-02,1.796636743231388653e-03,1.306671236385727316e-03,-6.332196851178585086e-03,-1.109729725587906696e-01
2.956375622749328613e+01,1.000000000000000000e+00,2.000000000000000000e+00,-2.220446049250313081e-16,3.006375622749328613e+01,-1.938421052631575048e+00,1.474473684210534818e+00,2.257192982456148300e+00,1.207631578947373052e+00,-1.447631578947368158e+00,1.973771929824557736e+00,-3.473684210526721550e-02,-4.526315789473587398e-02,-2.549929824561392611e+00,-1.821578947368440726e+00,4.605263157894594617e-01,1.160859649122801818e+00,-1.919473684210516007e+00,-5.510526315789667784e-01,-7.033333333333343651e-01,3.006375622749328613e+01,8.487147900782394949e-02,2.993036594339891845e-02,2.204090670535438067e-03,2.705958147386186650e-03,-9.677341864536221153e-03,-1.301958544869640799e-01
3.269228219985961914e+01,1.000000000000000000e+00,4.000000000000000000e+00,-2.220446049250313081e-16,3.319228219985961914e+01,-2.817857142857101982e-01,1.714285714285722184e+00,1.208428571428579179e+00,1.794642857142861203e+00,-2.472857142857141532e+00,-2.314285714286076073e-02,7.982142857142828785e-01,3.985714285714294647e-01,-3.774142857142842367e+00,-1.239642857142877252e+00,-1.511785714285729609e+00,1.599785714285709703e+00,-1.361785714285704385e+00,3.696428571428386767e-01,-5.879285714285725772e-01,3.319228219985961914e+01,7.935710470857365584e-03,1.124227560191814156e-02,1.216512645727821362e-03,9.381604031659687389e-05,-4.552013130575816371e-03,-1.443553138910699252e-01
